destination,cabin_type,activity_interests_cultural,activity_interests_nature_outdoors,activity_interests_entertainment,activity_interests_shopping,activity_interests_recreation,activity_interests_nightlife,hotel_preferences,food_preferences_asian,food_preferences_european,food_preferences_american_latin,food_preferences_middle_eastern,food_preferences_african,food_preferences_caribbean,food_preferences_local_cuisine,user_id
1,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,157
4,1,1,0,0,1,0,1,2,0,0,1,1,0,0,0,61
1,4,1,1,1,1,1,0,3,0,0,0,1,0,0,1,108
6,1,0,1,0,0,0,0,2,0,1,0,1,1,1,0,182
10,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,137
5,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
6,2,0,1,0,1,0,1,2,0,1,0,1,0,1,1,94
7,3,0,0,0,1,1,1,1,0,0,0,0,0,1,0,63
4,1,0,1,0,1,0,1,2,0,1,0,0,1,1,0,143
5,3,1,1,0,1,0,1,1,0,1,0,1,0,1,1,28
9,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,50
5,4,0,0,0,1,0,1,3,0,1,0,1,0,1,1,200
2,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
2,3,1,1,1,1,1,1,2,0,1,0,0,0,0,0,140
1,3,1,1,1,0,1,0,2,1,0,0,0,0,0,0,125
1,3,1,1,1,1,1,0,3,0,0,1,1,0,0,0,104
9,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,52
2,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,158
1,3,1,1,1,0,1,1,2,0,0,0,0,0,0,1,92
7,4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,99
3,4,1,1,1,1,1,0,3,1,1,1,1,1,0,1,126
7,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,47
9,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,65
7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
6,4,0,0,0,1,0,1,1,0,1,0,1,0,1,0,77
6,3,0,1,1,1,0,1,2,0,1,1,1,0,1,0,89
7,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,188
2,4,0,1,1,1,1,1,3,0,0,1,0,0,0,0,23
8,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,79
7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
10,4,1,1,0,0,0,1,2,0,1,0,0,0,0,0,76
10,4,0,0,0,1,1,1,3,0,0,0,0,0,0,0,165
6,4,0,1,0,1,0,1,3,1,1,1,1,0,0,1,131
4,3,0,1,0,0,0,1,3,0,1,0,0,0,1,0,87
2,4,1,0,1,1,1,0,3,0,0,0,0,0,0,0,6
8,4,1,0,0,0,0,0,2,1,0,0,0,0,0,1,149
4,4,0,1,0,1,0,1,2,0,1,0,1,0,1,0,77
5,4,0,1,0,1,0,0,2,0,1,1,1,0,1,0,89
7,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,55
5,4,1,0,0,1,1,1,3,0,0,0,1,1,1,0,49
8,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,145
2,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,95
4,2,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
7,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,110
2,3,1,1,1,0,1,1,3,0,0,0,0,0,0,0,95
7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,80
1,1,1,1,1,1,1,1,2,0,0,1,0,1,0,0,127
7,3,0,1,0,0,0,0,2,0,1,0,0,1,1,0,97
2,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,5
6,4,1,1,0,1,1,1,3,0,0,0,1,0,1,0,83
10,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,123
8,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,154
4,2,0,1,0,1,0,1,1,0,1,0,1,0,1,0,26
9,1,0,0,1,0,1,0,2,0,1,0,1,0,0,1,80
8,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,122
2,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
5,4,0,0,1,1,1,0,2,0,1,1,0,0,1,0,183
5,2,0,1,0,1,0,1,3,1,1,0,1,1,1,0,109
2,3,1,1,1,1,1,1,1,0,1,1,0,0,0,0,48
6,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,77
5,2,0,1,0,1,0,1,2,1,1,0,1,1,1,0,109
2,4,1,1,1,0,1,1,3,0,0,0,0,0,1,0,83
1,3,1,1,1,1,1,1,3,1,0,0,0,0,0,1,198
4,2,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,82
5,2,0,1,0,1,0,1,1,0,1,0,1,0,1,0,26
2,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,158
1,3,1,1,1,1,0,1,3,0,1,0,0,0,0,1,168
3,1,1,1,1,1,1,0,3,1,0,1,0,1,1,1,7
7,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,112
9,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,161
2,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,54
4,2,0,1,0,1,0,1,2,0,1,0,1,0,1,0,26
1,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
1,2,1,1,1,1,0,1,2,0,1,0,0,0,0,0,140
8,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,61
9,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,13
7,2,1,0,0,0,1,0,3,1,0,0,0,0,0,0,163
4,3,0,1,0,1,0,1,3,0,0,0,1,0,1,0,9
3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,56
7,4,0,0,0,0,0,0,3,0,0,0,1,1,0,0,106
7,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,137
2,4,0,1,1,0,1,1,3,0,0,1,0,1,0,0,117
4,1,0,0,1,1,0,1,3,0,1,0,1,0,1,0,75
2,1,1,1,0,1,1,1,3,0,0,0,0,1,0,0,127
3,4,1,0,1,1,1,0,3,0,1,1,1,1,1,1,114
8,4,0,1,0,1,0,0,3,0,1,0,0,0,0,0,105
1,2,1,1,1,0,1,1,2,0,0,0,0,0,0,0,95
10,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,36
2,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
4,2,0,1,1,1,0,1,2,0,1,0,1,0,1,0,41
2,3,1,1,1,1,1,1,2,0,0,0,0,0,0,1,82
7,4,0,0,0,0,0,1,3,0,0,1,0,0,0,1,196
3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,20
8,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,139
5,4,0,1,0,1,1,1,1,1,1,0,1,0,0,0,116
9,2,0,1,0,1,0,0,3,0,0,0,0,1,0,0,50
4,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,189
1,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
7,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,52
8,1,0,0,0,0,1,1,3,0,0,0,1,0,1,0,153
10,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
8,4,0,1,1,0,0,0,2,0,0,0,0,0,0,1,194
2,4,1,1,1,1,0,1,2,0,0,0,1,0,0,0,54
10,1,0,1,0,0,0,0,3,1,1,0,0,1,0,1,171
6,4,0,0,0,1,0,1,1,0,0,0,1,0,0,0,63
5,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,91
5,2,0,1,0,1,0,1,1,0,1,1,1,0,1,1,172
3,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,141
7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30
10,4,0,0,0,0,0,0,3,1,1,0,0,0,0,0,68
9,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,182
2,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,157
5,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
8,1,0,1,1,0,0,1,3,0,1,0,0,1,0,0,180
6,1,1,1,0,1,0,0,2,0,1,0,1,0,0,0,21
9,2,0,0,0,0,0,1,3,0,1,0,0,0,1,0,55
1,4,0,0,1,1,1,1,3,0,0,0,0,0,1,1,101
9,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,189
4,2,1,1,0,1,0,1,3,0,1,0,1,0,1,0,34
4,2,0,1,0,1,0,1,2,1,1,0,1,0,1,0,11
1,1,1,1,0,1,1,1,2,0,0,0,0,0,1,0,38
5,3,0,1,0,1,0,0,1,0,1,0,1,0,1,0,44
3,3,1,1,1,1,0,1,3,1,0,0,1,0,1,1,131
3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
7,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,146
6,4,0,1,0,1,0,1,1,0,0,0,1,0,1,0,77
10,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,122
5,4,0,1,0,1,0,1,2,0,1,0,1,0,1,0,77
1,3,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
3,4,0,1,1,1,1,1,2,1,1,1,1,1,1,1,195
10,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,37
8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
4,1,0,1,0,0,0,1,3,0,1,1,1,0,1,0,88
3,4,1,1,1,0,1,1,2,1,1,1,1,0,1,1,190
10,1,1,0,0,1,0,0,3,0,1,0,0,0,0,0,105
4,1,0,0,0,1,1,1,2,0,1,0,1,0,1,0,81
6,1,0,1,0,1,0,1,3,1,1,0,1,0,1,0,11
6,3,0,1,1,1,1,1,3,0,1,0,1,0,1,0,186
6,3,0,1,0,0,1,1,2,0,1,0,1,0,0,0,167
7,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,105
4,1,0,1,0,1,1,1,3,0,1,0,1,0,1,1,94
2,1,1,1,1,1,1,1,3,0,0,0,1,0,0,0,54
9,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,154
10,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,112
9,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,122
3,4,1,1,0,1,1,0,3,1,1,0,1,0,1,0,159
1,3,1,1,1,0,0,0,3,0,0,0,0,0,0,0,199
4,2,0,1,0,1,0,0,3,0,1,0,0,0,1,1,73
6,4,0,1,0,1,0,0,1,1,1,1,1,1,0,0,72
2,2,1,1,1,1,1,1,2,0,0,0,0,0,0,1,113
6,4,1,1,0,1,0,1,3,0,1,0,1,0,1,0,115
9,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,103
9,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,64
3,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,56
8,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,139
4,2,0,1,0,0,1,1,3,1,1,0,1,0,1,0,133
10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
1,4,1,1,0,1,1,1,3,0,1,1,0,0,0,0,96
1,4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,5
2,1,1,1,1,1,1,1,2,0,0,1,1,0,0,0,132
6,3,0,1,0,1,0,1,3,0,1,0,1,0,0,1,8
10,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,139
3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,0,174
6,3,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
1,3,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
7,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,154
7,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,160
7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102
7,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
2,1,1,1,1,1,1,1,3,0,0,0,0,1,0,0,127
6,2,0,1,0,0,0,1,2,0,1,1,1,0,1,0,88
1,3,1,1,1,1,1,0,3,0,0,0,1,0,1,0,164
6,3,0,1,0,1,1,1,3,0,1,0,0,0,1,1,129
10,4,0,0,1,0,1,0,1,0,0,1,0,0,1,0,36
10,1,0,0,0,0,0,1,3,0,0,1,0,0,0,1,196
8,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35
10,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,35
7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,161
3,4,1,1,1,1,1,1,2,1,0,1,1,1,1,1,93
4,3,0,1,0,1,0,1,3,0,1,0,0,0,1,0,143
2,3,1,1,0,1,0,0,1,1,0,0,1,0,0,0,150
7,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
3,4,1,1,1,0,1,1,3,0,1,1,1,0,1,0,162
3,3,1,1,1,1,1,0,2,0,1,1,0,1,0,1,114
10,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,138
4,2,0,1,0,0,0,1,3,1,0,0,1,1,0,0,85
10,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
7,4,0,1,1,0,0,1,3,0,0,0,0,1,1,0,1
9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
3,4,0,1,1,1,1,1,2,1,1,1,1,1,1,0,195
8,4,1,0,0,0,0,0,2,0,1,1,1,0,1,0,88
10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
1,4,1,1,1,1,1,1,3,1,0,1,0,0,0,1,198
2,2,0,1,1,1,1,1,3,0,1,0,0,0,0,0,53
3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,141
2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,157
5,3,1,1,0,1,0,1,1,0,1,0,1,0,1,0,34
6,2,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
7,3,0,0,1,0,0,0,3,0,0,0,1,0,0,0,42
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,138
6,3,0,1,0,1,0,0,3,0,1,0,1,0,1,1,73
7,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
4,2,0,0,0,1,0,1,3,0,1,0,1,0,1,0,75
8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
6,2,0,1,0,1,0,1,2,0,1,0,1,0,1,1,94
2,4,1,1,1,1,1,1,3,0,0,1,0,0,0,0,104
4,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,91
7,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,60
8,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,139
8,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
6,3,0,1,1,1,0,1,3,1,1,1,1,0,1,0,71
6,2,0,1,1,1,0,0,2,0,1,0,1,0,1,0,41
4,1,1,1,0,1,0,0,2,0,1,0,1,0,1,1,73
1,4,0,1,1,1,1,1,1,0,0,1,0,1,0,0,117
9,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,110
6,2,0,1,0,1,0,1,3,1,1,1,1,0,1,0,71
2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,157
5,4,0,1,0,1,0,0,2,0,1,0,1,0,0,0,44
10,4,0,0,0,0,0,0,3,0,1,0,0,1,1,0,97
8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63
7,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,154
6,4,0,0,0,1,0,1,3,0,1,0,1,0,0,0,57
2,4,1,0,1,1,1,1,1,1,0,0,0,0,1,0,78
7,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,121
4,3,0,1,0,1,0,1,3,0,1,0,0,1,1,0,51
9,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,161
1,4,0,1,1,1,1,1,1,0,0,0,1,0,0,0,178
6,4,0,1,0,1,0,1,1,0,1,0,1,0,0,0,118
2,1,1,1,1,1,1,1,3,0,0,1,0,0,0,1,132
2,2,1,1,1,1,1,1,3,0,0,0,0,0,0,0,12
10,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
9,3,0,1,0,1,0,1,3,1,0,1,0,0,1,0,71
3,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,15
7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,138
8,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,16
1,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
1,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,178
10,4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,99
10,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,107
9,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,110
1,3,1,0,1,1,1,1,2,0,0,0,0,0,0,1,92
1,4,0,1,0,1,1,1,1,0,0,0,0,0,0,0,178
6,4,1,1,0,1,0,1,1,0,1,0,0,0,1,1,28
6,1,0,1,0,1,0,0,2,0,1,0,1,0,1,1,73
8,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,166
6,2,0,1,0,1,0,1,2,0,1,0,1,0,1,1,94
6,3,0,0,0,1,0,1,2,0,0,0,1,0,1,0,75
6,1,0,1,0,1,0,1,3,1,1,0,1,1,1,0,109
8,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,137
3,2,1,0,1,0,1,1,2,1,1,1,1,1,1,1,141
7,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,31
10,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0,165
4,2,0,0,0,1,0,1,3,1,1,0,1,0,0,0,144
1,3,1,1,1,1,1,1,3,0,0,0,0,1,1,0,49
3,4,1,1,0,1,1,1,2,1,1,1,1,1,1,1,147
5,1,1,1,0,0,0,1,3,0,1,0,1,0,1,0,14
6,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,67
4,2,0,1,0,1,0,1,1,1,1,0,1,0,0,0,144
6,2,0,1,0,1,0,1,2,0,1,0,1,1,1,0,17
9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,19
2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,63
9,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,139
1,3,0,1,1,0,1,1,3,0,0,0,0,0,1,1,101
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,147
8,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,107
4,1,0,1,1,0,0,1,2,1,1,0,1,0,1,0,91
3,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,98
1,2,1,1,1,1,1,1,2,0,0,0,0,1,1,0,127
1,4,1,0,1,1,1,1,1,0,0,1,0,0,0,0,5
8,1,0,1,1,1,0,0,3,0,0,0,1,0,0,1,21
1,2,1,1,1,1,1,0,3,0,0,0,0,0,1,0,164
2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,178
10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
7,3,0,1,0,0,0,0,2,0,0,0,1,0,0,0,124
6,4,0,1,0,1,0,1,3,0,0,1,1,0,1,0,89
2,2,1,1,1,1,1,1,3,0,0,0,0,0,0,0,12
9,4,0,0,0,0,1,0,2,0,0,0,0,0,0,1,80
9,2,0,0,0,0,0,1,3,0,0,0,1,0,1,0,67
8,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,22
8,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,160
8,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,199
7,4,0,0,0,0,0,0,3,0,0,1,1,0,0,0,137
9,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,128
1,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,178
4,2,0,1,0,1,1,1,3,1,1,1,1,0,0,0,144
1,4,1,1,1,1,1,1,3,0,0,0,0,0,1,0,83
6,4,0,1,0,1,0,1,1,0,1,0,1,1,1,0,17
6,3,0,1,1,1,0,1,1,0,1,0,1,0,1,0,41
8,3,0,0,0,0,0,1,3,0,1,1,0,1,0,1,171
5,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,77
7,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,145
1,2,1,1,1,1,1,1,2,1,1,1,0,0,0,0,98
1,1,1,1,1,1,1,0,2,0,0,0,1,0,0,0,158
10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
10,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,111
2,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,157
9,4,0,0,0,0,1,0,2,0,0,0,1,0,0,0,160
1,4,0,0,1,1,1,1,3,0,0,0,0,0,0,0,53
8,3,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1
5,3,1,1,0,1,0,1,1,0,1,0,0,0,1,0,135
2,4,0,1,1,1,1,1,1,0,0,0,1,0,0,0,178
4,2,0,1,0,1,0,0,2,1,1,0,1,0,1,0,159
5,2,0,1,0,1,0,1,1,0,1,0,1,1,1,0,17
2,3,1,1,1,1,1,0,3,0,0,0,1,0,0,0,6
6,3,0,1,0,1,1,1,3,0,1,0,0,0,1,0,186
1,3,0,0,1,1,1,0,3,0,1,0,0,0,0,0,189
2,4,1,1,1,1,1,1,2,0,0,0,0,0,1,0,83
1,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
4,2,0,1,1,1,1,0,3,0,1,0,0,0,1,0,24
8,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,138
2,4,1,1,1,1,1,1,2,0,1,0,0,0,0,0,140
4,2,0,1,1,1,1,1,2,0,1,0,1,0,1,0,41
7,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,69
1,2,1,1,1,1,1,1,2,0,0,0,0,0,1,0,38
8,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64
1,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
8,3,0,0,1,0,0,1,2,0,0,1,0,0,0,0,45
7,4,0,0,0,0,1,0,3,0,1,0,0,0,0,0,60
5,4,0,1,1,1,0,1,3,1,0,1,1,0,1,0,151
5,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,77
3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141
2,4,1,1,0,1,1,1,3,0,0,0,0,0,0,0,156
4,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,44
2,3,1,0,1,1,1,1,1,0,0,0,1,0,0,0,5
1,4,1,1,1,1,1,1,3,0,0,0,0,0,1,0,83
1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,3
1,4,1,0,1,0,1,1,3,0,0,0,0,1,1,0,49
6,2,0,1,0,1,0,1,3,1,0,0,1,1,1,0,109
1,2,1,1,1,1,1,1,2,0,0,1,0,0,0,1,48
8,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,112
6,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
5,4,0,1,0,1,1,1,1,0,1,0,1,0,1,0,2
4,4,0,1,0,1,1,1,2,0,1,0,1,0,1,0,186
7,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,139
3,4,1,1,1,1,1,1,2,1,1,0,1,1,1,1,15
2,3,0,1,1,1,0,1,3,0,0,1,0,0,0,0,23
1,3,0,1,0,1,1,1,2,0,0,0,0,0,0,0,178
1,3,0,0,1,1,1,1,3,0,0,0,0,0,0,1,101
4,4,0,1,1,1,0,1,1,1,1,0,1,0,1,0,91
4,1,0,1,0,0,0,1,2,0,1,0,1,1,1,0,182
6,3,0,1,1,0,1,1,3,0,1,0,1,0,1,0,162
6,2,0,0,0,1,0,1,1,0,0,0,1,1,1,0,17
7,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
6,3,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
8,3,0,1,0,1,1,0,3,0,1,0,0,0,0,0,167
4,3,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
9,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,184
3,3,1,1,1,1,0,1,3,1,1,1,1,1,1,1,62
6,3,0,0,0,0,0,1,3,0,1,1,1,0,1,0,88
9,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,64
2,1,1,1,0,0,1,1,3,1,0,0,0,0,0,0,163
7,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,137
8,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,13
2,1,1,1,1,1,1,1,3,0,0,0,1,0,0,0,54
5,4,0,1,1,1,0,1,3,0,1,1,0,0,1,0,43
7,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,196
10,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,86
6,2,0,1,0,1,0,1,2,1,1,0,1,0,1,0,11
10,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,63
7,3,0,1,0,0,1,0,1,0,0,1,1,0,0,0,33
5,1,0,1,0,1,0,1,3,0,1,0,0,0,1,0,143
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,154
1,4,1,1,1,1,1,1,3,0,0,1,0,0,0,1,104
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,154
6,2,0,0,0,0,0,1,2,0,1,1,1,0,1,0,88
8,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,112
3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,126
2,1,1,1,1,1,1,1,2,1,0,0,0,1,0,1,40
10,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
7,4,1,0,1,0,0,0,3,1,0,0,0,0,1,0,66
3,4,1,1,1,1,1,0,2,0,1,1,1,1,0,1,114
5,1,0,1,1,1,1,1,3,1,1,0,1,1,1,0,109
1,3,0,0,1,1,1,1,3,0,0,1,0,0,0,0,23
5,1,1,1,1,1,0,1,3,0,1,0,1,1,0,0,136
2,4,1,1,1,1,1,1,3,0,0,0,1,1,0,0,49
1,3,1,0,1,0,1,1,2,0,0,0,0,0,0,0,95
1,4,0,1,1,1,1,0,3,0,0,0,0,0,0,1,101
7,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
5,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,100
2,4,1,1,1,1,1,1,3,0,1,0,0,0,1,0,83
6,4,1,1,0,1,0,0,3,0,1,0,1,0,1,0,115
3,1,1,0,1,1,1,1,3,1,1,1,0,0,1,1,197
7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,110
9,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
4,2,0,1,0,1,0,0,1,0,1,0,1,0,1,0,177
6,3,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
4,4,0,1,0,0,0,1,1,0,1,0,1,0,1,0,77
1,4,1,0,1,1,1,0,3,0,0,0,0,0,0,0,6
1,4,1,0,1,1,1,1,1,0,1,0,0,0,1,0,5
7,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,103
6,4,0,1,0,1,0,1,1,0,1,0,1,0,0,0,118
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
2,3,1,1,1,1,0,1,2,1,0,0,0,1,0,0,78
6,3,0,0,0,1,0,1,1,0,1,1,1,0,1,0,172
1,2,1,0,1,1,1,1,2,0,0,0,0,0,0,0,12
2,3,1,1,0,0,0,1,2,1,0,0,0,1,0,0,85
10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
3,2,1,1,0,1,1,1,2,1,1,1,1,1,1,1,147
4,1,0,1,0,1,1,1,3,0,1,0,1,0,1,0,81
8,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,85
3,4,0,1,1,0,1,1,3,1,1,1,1,1,0,0,195
